No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
1	0	156.0505	156.8025	2.2468	0.4123	12.2704	12.8693	24.2643	25.3786
2	1	174.2551	175.9441	0.2422	0.0159	1.2162	0.1618	27.1870	30.5527
3	2	162.8623	163.5427	0.2644	0.0796	1.5383	2.6523	27.9384	23.5985
4	3	162.8565	163.6061	1.5867	0.4698	8.3846	15.2898	0.0000	0.0000
5	4	164.2973	165.8417	0.3496	0.0286	1.7618	0.2366	26.6361	27.1003
6	5	162.3926	163.1087	2.0909	0.1992	11.0132	6.4515	31.2727	26.4689
7	8	158.1590	158.9031	2.1663	0.2461	11.6317	8.1110	0.0000	0.0000
8	9	157.0534	157.9241	0.6307	0.0700	3.2999	2.2009	32.1257	25.6124
9	10	156.8088	157.5656	2.2322	0.4759	13.3554	17.1265	0.0000	0.0000
10	11	174.8530	175.5742	2.5239	0.2608	13.6126	8.1499	19.8787	26.2522
11	12	164.6800	165.4464	1.2711	0.2092	6.8160	5.9048	23.4973	22.6248
12	13	156.7614	157.4948	1.2949	0.1249	7.0203	3.6407	33.8369	26.9214
13	14	179.0672	179.8330	0.5044	0.1910	2.6444	6.3615	22.0480	25.3242
14	15	165.5966	166.3280	2.4214	0.2217	13.0174	6.7298	25.7668	28.6016
15	17	603.1933	174.4601	0.0424	0.0166	0.0730	0.1466	0.0000	0.0000
16	18	161.1780	162.1154	1.0244	0.1029	5.3847	2.7010	0.0000	0.0000
17	20	175.3405	176.1010	1.6454	0.2573	8.8324	7.0769	25.7558	28.1796
18	21	160.8407	161.5971	1.8027	0.2256	9.6967	6.5266	20.9622	29.3911
19	22	166.7780	167.5425	1.7835	0.3125	10.4966	11.2245	0.0000	0.0000
20	23	163.8867	164.7642	0.5131	0.1381	2.6366	4.5560	31.1108	25.4206
21	24	175.5012	176.6616	0.3031	0.0448	1.4520	0.7793	22.0335	21.5674
22	26	174.9044	176.2891	0.7278	0.0368	3.8990	0.5003	0.0000	0.0000
23	28	582.8190	162.6931	0.0391	0.0506	0.0455	0.6347	29.1297	32.2404
24	30	171.3169	172.0862	2.3885	0.3270	12.8582	10.3442	30.0688	27.8099
25	31	173.6240	175.2786	0.0902	0.0205	0.4741	0.1441	0.0000	0.0000
26	33	166.5307	167.3113	3.8754	0.3093	23.1005	12.3039	0.0000	0.0000
27	34	173.4869	174.2569	1.2687	0.1557	6.7699	4.2124	27.8378	33.6409
28	35	168.6806	170.0411	0.3029	0.0316	1.5792	0.4359	0.0000	0.0000
29	36	161.1727	161.9405	1.6960	0.3788	9.3256	13.1354	0.0000	0.0000
30	38	156.6645	157.4229	1.1802	0.4335	6.3134	15.8583	22.8969	31.8668
31	39	159.1635	159.9039	0.4423	0.2167	2.2289	6.6591	0.0000	0.0000
32	40	177.9509	178.8904	0.3767	0.0648	1.8735	1.1133	0.0000	0.0000
33	41	173.0882	174.0762	0.2573	0.0408	1.3331	0.6278	24.0769	19.9998
34	42	167.4815	168.2370	1.4715	0.2562	7.9958	10.6589	25.2913	27.5337
35	43	166.8228	167.5457	0.5883	0.0928	3.0554	2.5157	20.9554	20.7554
36	45	169.7472	170.4998	2.1147	0.4652	11.5355	14.6287	0.0000	0.0000
37	46	164.2530	164.9938	2.4137	0.3741	13.2575	11.0653	0.0000	0.0000
38	47	160.0108	160.8121	1.2000	0.1361	6.4266	3.6136	0.0000	0.0000
39	48	159.2830	160.0268	1.2110	0.0949	6.6019	2.9732	22.9330	32.1372
40	49	156.3188	157.1255	3.8754	0.5402	23.8339	16.3261	28.7234	27.4931
41	50	172.4559	173.3728	0.8836	0.0714	4.7043	2.7485	26.6022	25.8867
42	52	165.5973	166.3840	1.7387	0.4162	9.2864	15.0174	25.7186	30.6446
43	53	177.6137	178.3405	2.0467	0.4058	10.9018	14.4543	24.7714	19.7550
44	55	160.5427	161.3988	0.2182	0.1348	1.0394	3.6276	0.0000	0.0000
45	57	163.6377	164.3714	1.2897	0.3164	6.8391	9.5775	0.0000	0.0000
46	59	160.3988	161.2935	0.1883	0.0784	0.8999	2.4952	25.4328	22.5963
47	60	164.6588	165.3766	1.9894	0.5327	10.5005	17.1187	27.1356	27.1023
