No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
1	0	168.8375	169.5667	1.6306	0.6079	9.6267	18.0798	24.2643	25.3786
2	1	177.5658	178.3605	1.5860	0.1797	8.6677	4.9268	27.1870	30.5527
3	2	157.4666	158.2291	1.5886	0.2427	8.4309	9.1539	27.9384	23.5985
4	3	592.3828	845.7734	0.0439	0.0121	0.1636	0.0337	0.0000	0.0000
5	4	156.6346	157.3807	1.7087	0.2589	9.3312	7.8465	26.6361	27.1003
6	5	156.7027	157.4844	1.1221	0.1166	5.8722	3.7487	31.2727	26.4689
7	7	159.2019	159.9990	1.9088	0.2979	10.3372	9.2925	21.9381	24.1103
8	8	159.7393	160.5022	0.3695	0.1371	2.2119	3.4045	0.0000	0.0000
9	9	157.5941	158.3834	0.6743	0.0681	3.5245	2.2600	32.1257	25.6124
10	11	162.9187	163.7569	0.9104	0.0525	4.8227	0.8144	19.8787	26.2522
11	12	176.3870	177.1697	1.1212	0.1268	5.8892	3.7818	23.4973	22.6248
12	14	178.6768	179.4288	1.3585	0.1901	7.1190	6.6315	22.0480	25.3242
13	15	169.6219	170.3974	2.1481	0.3282	11.4158	12.1715	25.7668	28.6016
14	16	156.8910	157.6935	0.8338	0.0834	4.4262	1.4343	25.9284	20.5963
15	17	178.2497	179.0238	1.8193	0.2280	9.8404	6.6158	0.0000	0.0000
16	18	168.6444	169.7807	0.2838	0.0434	1.4189	0.7028	0.0000	0.0000
17	20	177.1273	177.8852	1.7925	0.2182	9.4870	6.7604	25.7558	28.1796
18	21	157.9304	158.7010	1.0306	0.2139	5.4189	6.2446	20.9622	29.3911
19	22	159.5829	160.3447	1.4080	0.1561	7.6986	4.6732	0.0000	0.0000
20	23	162.0490	162.7988	0.7479	0.1639	3.8028	5.8223	31.1108	25.4206
21	25	177.0459	177.7922	1.9679	0.2596	10.7945	10.2098	25.3166	26.9919
22	26	169.1086	169.9007	1.5253	0.2822	7.9797	9.3694	0.0000	0.0000
23	27	172.9546	173.7342	1.8752	0.1863	10.0254	6.0418	27.6536	22.8579
24	29	167.0754	167.8105	0.6538	0.0742	3.4997	2.4279	19.0114	27.5546
25	30	160.3081	161.1036	1.6245	0.1779	8.6078	4.8783	30.0688	27.8099
26	31	160.7034	161.4808	1.0968	0.2160	6.3242	7.6045	0.0000	0.0000
27	32	162.5679	163.2758	0.5245	0.1996	2.6723	5.8385	30.2771	22.5291
28	33	409.7128	463.9259	0.0500	0.0115	0.2010	0.0444	0.0000	0.0000
29	34	165.5618	166.8898	0.2759	0.0243	1.4876	0.2832	27.8378	33.6409
30	35	168.5118	169.3043	1.5640	0.1048	8.2606	4.2030	0.0000	0.0000
31	36	173.1374	173.9784	1.0488	0.0715	5.5461	2.3557	0.0000	0.0000
32	38	154.6798	155.4132	0.5724	0.1433	2.9751	4.3933	22.8969	31.8668
33	40	156.1637	156.9090	1.1880	0.3230	7.1450	10.6558	0.0000	0.0000
34	42	155.0862	155.8722	1.5144	0.2070	7.9333	6.3779	25.2913	27.5337
35	43	165.1217	166.4704	0.6776	0.0370	3.6614	0.4527	20.9554	20.7554
36	44	166.6506	167.4103	1.3534	0.1669	7.4290	4.3552	0.0000	0.0000
37	45	168.5004	169.2980	0.7552	0.0667	4.0410	2.1135	0.0000	0.0000
38	46	176.1642	177.9571	1.4118	0.0334	7.6601	0.3955	0.0000	0.0000
39	47	171.1257	172.0446	0.8347	0.0753	4.5991	2.3361	0.0000	0.0000
40	48	156.4910	157.1475	0.5947	0.1009	3.1150	4.4722	22.9330	32.1372
41	49	179.6783	180.4242	1.3292	0.3701	7.0426	12.7722	28.7234	27.4931
42	50	174.6865	175.4469	1.7821	0.5270	9.5844	18.6065	26.6022	25.8867
43	51	161.2074	161.9583	2.0714	0.3029	10.9000	9.3455	0.0000	0.0000
44	52	172.8084	173.5493	2.4305	0.1946	12.8508	5.7990	25.7186	30.6446
45	53	169.3079	170.1544	0.5567	0.0690	2.8516	1.8577	24.7714	19.7550
46	54	162.4029	163.1347	0.9508	0.2251	5.0233	6.0439	29.0838	31.3100
47	55	165.5280	428.7758	2.2499	0.0132	11.8685	0.0528	0.0000	0.0000
48	57	169.6265	170.3772	1.4758	0.2232	7.6295	6.5663	0.0000	0.0000
49	58	170.5975	171.4132	0.7126	0.0983	3.8257	4.5575	0.0000	0.0000
50	59	168.3540	169.1101	1.2451	0.2892	6.8967	12.0476	25.4328	22.5963
51	60	162.7521	163.5158	2.1001	0.1888	11.3784	4.2576	27.1356	27.1023
52	61	164.3022	165.0710	1.6975	0.0675	8.9167	3.2603	26.5409	32.1544
53	63	156.3946	157.2075	1.2544	0.1537	6.7719	3.6238	0.0000	0.0000
54	64	164.7963	165.5773	1.3538	0.2311	8.1867	7.8849	27.7638	29.3916
55	65	169.9776	170.7975	0.3328	0.1001	1.8345	2.6601	0.0000	0.0000
56	66	169.5371	170.2603	0.4055	0.1046	2.3242	4.1764	0.0000	0.0000
57	67	154.6218	155.4519	1.6901	0.2104	9.2165	7.4679	25.8575	21.8986
58	68	173.4608	174.2213	2.2118	0.3875	11.6638	10.7857	28.4226	26.6923
59	69	173.6629	174.4046	0.7346	0.1760	4.0674	6.1957	0.0000	0.0000
60	70	176.3490	177.1398	1.9168	0.2772	10.3300	9.1893	28.8107	23.9614
61	71	171.5617	172.3579	0.6929	0.1632	3.7586	5.3871	0.0000	0.0000
62	72	173.6154	174.5951	0.4814	0.0283	2.5308	0.4075	20.3801	28.5819
63	73	155.1820	156.0236	0.3028	0.0442	1.6825	0.8114	0.0000	0.0000
64	74	164.8992	165.6356	1.7246	0.7751	9.1988	41.4648	0.0000	0.0000
65	76	165.4892	166.2456	2.3632	0.2265	12.7439	7.1620	27.6327	24.9863
66	77	155.8754	156.6772	2.0593	0.1617	11.1667	6.0885	0.0000	0.0000
67	78	160.7227	161.4643	1.7087	0.2883	8.9796	8.3381	0.0000	0.0000
68	81	157.3744	512.9991	0.5147	0.0127	2.7052	0.0289	30.6053	30.5240
69	82	160.5712	854.6015	1.1186	0.0156	6.6730	0.0504	28.8070	22.0695
70	83	160.5111	161.2496	0.4235	0.0610	2.0914	2.0082	30.5272	31.3433
71	84	163.6478	164.4494	1.6742	0.0933	8.9681	2.2903	28.3932	31.0065
72	85	174.2337	175.0170	2.2461	0.1787	12.0959	5.5631	27.6061	24.7521
73	86	172.2786	173.0579	1.2916	0.0966	6.7380	2.3734	0.0000	0.0000
74	87	179.1581	179.9648	1.5321	0.2349	8.1930	6.7742	30.2426	26.7413
75	91	169.5276	170.2293	0.7594	0.0701	3.9478	1.9970	0.0000	0.0000
76	92	170.0835	170.9196	0.4221	0.0458	2.1107	1.1334	31.3650	23.5003
77	93	176.4610	177.2325	0.8976	0.1250	4.9061	3.7157	25.6143	21.4689
78	94	156.0310	157.5850	0.7674	0.0201	4.0804	0.2158	25.8787	19.8289
79	95	175.3619	176.1555	1.1785	0.1940	6.4160	4.9061	26.1946	30.0518
