No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
1	250	170.3527	171.1493	1.7003	0.2766	9.1137	8.4616	22.8560	25.2939
2	251	174.5797	175.3683	1.1357	0.1530	6.0398	6.0034	29.0595	22.3476
3	252	175.2763	176.0215	1.1094	0.1285	5.7179	4.3613	0.0000	0.0000
4	253	165.1370	165.9015	1.7023	0.3683	9.0515	14.5778	25.8141	28.5642
5	254	167.5105	168.2528	1.6455	0.1917	8.9814	6.1192	24.2474	30.7994
6	255	166.0662	166.8402	2.4191	0.2116	13.2029	6.7388	28.2647	29.4264
7	256	157.6655	158.4239	2.2262	0.3036	11.8090	10.3078	23.8770	29.7275
8	257	165.1836	165.9173	0.4458	0.1354	2.3057	5.3381	26.1305	22.2139
9	258	162.4738	163.2495	1.8299	0.1458	9.7609	6.1297	30.9033	27.4839
10	259	178.8117	179.5938	2.5005	0.1696	13.4143	6.4016	0.0000	0.0000
11	260	173.8533	175.1990	0.4074	0.0147	2.1712	0.1767	0.0000	0.0000
12	261	173.4277	174.1934	2.1870	0.2205	12.0009	6.6905	28.2364	25.5422
13	264	167.8234	169.0896	0.3206	0.0280	1.6606	0.3403	0.0000	0.0000
14	265	162.5507	163.3849	1.3951	0.1346	7.5185	4.1693	0.0000	0.0000
15	266	156.7559	157.4794	1.8134	0.3354	9.8450	13.2473	22.1324	26.5065
16	267	158.4141	159.2183	1.1472	0.1741	6.1058	5.6643	15.0660	30.9416
17	269	162.5908	163.9222	0.3029	0.0201	1.5181	0.3214	0.0000	0.0000
18	271	179.3000	180.0580	2.1139	0.1998	11.2569	5.9960	29.0589	26.8851
19	272	679.5176	866.6105	0.0424	0.0130	0.0938	0.0552	36.1244	36.7869
20	273	179.2195	179.9816	1.9323	0.1527	10.3908	4.1632	22.8258	27.5759
21	275	155.8090	156.7133	0.3707	0.1119	1.7953	4.2207	23.7346	32.6732
22	276	176.5826	177.3584	1.9363	0.2404	10.5851	9.8603	24.7352	23.1746
23	277	178.5162	179.2680	1.9188	0.2221	10.1827	5.9255	0.0000	0.0000
24	278	155.1427	155.8965	1.7658	0.1725	9.3617	6.3469	22.2309	27.9882
25	280	163.9062	164.6931	1.4217	0.1006	7.5196	2.9147	26.8490	31.3034
26	281	161.6390	162.3744	0.2990	0.0609	1.5935	0.9571	19.8301	27.0815
27	282	160.7740	161.5282	1.5266	0.3467	8.5462	10.1837	26.7131	26.2464
28	283	176.9664	177.8464	0.5045	0.0460	2.5949	0.8507	0.0000	0.0000
29	284	177.3331	178.1850	0.9183	0.1315	4.8924	4.5292	30.8298	29.7768
30	285	175.4124	176.1003	0.7435	0.0733	3.8344	2.8222	20.8317	29.9097
31	286	168.3042	169.0331	1.3825	0.1890	7.2745	7.2959	22.3318	31.2321
