;Reco;X;Y;BadFlag;SigmaOutNoise;Baseline;risetime;Amplitude
0;TRUE;21.9629;28.1559;FALSE;75.46587958;-0.000703003;8.73E-08;0.030778952
1;TRUE;33.7943;25.7975;FALSE;55.60240031;-0.000709735;9.48E-08;0.022329781
2;FALSE;;;;;;;
3;TRUE;30.4421;22.3763;FALSE;54.26049032;-0.000894272;9.54E-08;0.023167471
4;TRUE;28.5569;28.5597;FALSE;94.98230913;-0.000621492;8.46E-08;0.040400369
5;TRUE;24.3082;28.9518;FALSE;84.49880806;-0.000554479;8.25E-08;0.036910349
6;TRUE;23.4791;21.9557;FALSE;228.8807433;-0.000458992;8.12E-08;0.095376448
7;FALSE;;;;;;;
8;TRUE;30.2932;26.9485;FALSE;54.60479705;-0.000838255;9.04E-08;0.022652703
9;TRUE;29.7968;27.4658;FALSE;80.29920527;-0.000295478;8.36E-08;0.034434766
10;TRUE;24.2936;30.3686;FALSE;40.93634727;-0.000688306;9.27E-08;0.017286786
11;FALSE;;;;;;;
12;TRUE;27.5519;21.7307;FALSE;183.4903759;-0.000534169;8.11E-08;0.075411983
13;TRUE;26.6983;22.3089;FALSE;202.7366676;-0.000501451;8.29E-08;0.086032781
14;TRUE;28.2022;24.9425;FALSE;196.1256276;-0.000693003;8.35E-08;0.079277193
15;TRUE;28.6396;30.5906;FALSE;44.15588638;-0.00065918;1.20E-07;0.020239893
16;TRUE;30.1494;21.494;FALSE;127.694645;-0.000500184;8.40E-08;0.053968865
17;TRUE;32.0874;30.2367;FALSE;9.501302187;-0.000319011;1.02E-07;0.003894963
18;FALSE;;;;;;;
19;TRUE;33.0643;27.1848;FALSE;20.26020652;-0.000706485;1.02E-07;0.008387702
20;TRUE;27.4324;27.5687;FALSE;252.1676029;-0.000679669;7.78E-08;0.108439507
21;TRUE;25.9342;21.3389;FALSE;309.5676682;-0.000773173;8.09E-08;0.126024786
22;FALSE;;;;;;;
23;FALSE;;;;;;;
24;TRUE;32.1976;30.0309;TRUE;3.670149655;-0.000758777;1.00E-10;0.001493765
25;FALSE;;;;;;;
26;TRUE;29.6163;27.6074;FALSE;152.5099495;-0.000530454;8.15E-08;0.063766484
27;FALSE;;;;;;;
28;TRUE;25.855;24.0109;FALSE;210.1560601;-0.000522596;8.26E-08;0.091831054
29;TRUE;31.0335;23.5738;FALSE;292.7762806;-0.000786298;8.12E-08;0.123282275
30;FALSE;;;;;;;
31;TRUE;23.2042;23.5919;FALSE;109.8505831;-0.000732419;8.26E-08;0.051318574
32;TRUE;32.9227;23.6403;FALSE;50.03316387;-0.000968189;8.91E-08;0.02168994
33;TRUE;28.3772;20.6671;FALSE;166.7038823;-0.000973807;8.18E-08;0.069684795
34;TRUE;32.9208;29.6272;TRUE;4.152997541;-0.000558281;2.00E-10;0.001696854
35;TRUE;21.8652;30.8092;FALSE;7.53997531;-0.000586062;1.13E-08;0.003389218
36;FALSE;;;;;;;
37;TRUE;24.003;26.0371;FALSE;229.007636;-0.000712847;8.31E-08;0.097089211
38;FALSE;;;;;;;
39;TRUE;26.4546;29.1316;FALSE;191.5309158;-0.000816663;7.80E-08;0.092805686
40;TRUE;26.1253;30.58;FALSE;106.9970917;-0.000634509;8.51E-08;0.044136373
41;TRUE;28.4714;32.464;TRUE;4.974388082;-0.000600673;5.00E-10;0.002246007
42;TRUE;26.9371;22.177;FALSE;225.787825;-0.00057287;8.25E-08;0.092948293
43;FALSE;;;;;;;
44;TRUE;31.8059;23.8;FALSE;93.577515;-0.000237919;8.82E-08;0.040776156
45;FALSE;;;;;;;
46;TRUE;25.3493;24.6076;FALSE;252.276182;-0.000690993;8.04E-08;0.103885252
47;TRUE;26.2753;25.5141;FALSE;162.7271014;-0.00072789;8.14E-08;0.064497876
48;TRUE;31.4501;29.951;FALSE;67.06778427;-0.000854391;8.47E-08;0.027913739
49;FALSE;;;;;;;
50;TRUE;31.9486;28.1632;FALSE;99.22226726;-0.000663362;8.23E-08;0.040353306
51;TRUE;24.645;28.9268;FALSE;276.7674697;-0.000500251;7.84E-08;0.119806323
52;FALSE;;;;;;;
53;TRUE;29.8437;26.9978;FALSE;139.4949067;-0.000422795;8.03E-08;0.060052476
54;TRUE;32.2532;26.9536;FALSE;25.92288142;-0.000399771;9.52E-08;0.012928606
55;FALSE;;;;;;;
56;FALSE;;;;;;;
57;TRUE;33.9995;27.4315;FALSE;22.85733901;-0.000403342;8.14E-08;0.009495135
58;TRUE;28.2323;22.6849;FALSE;211.8300332;-0.000545974;8.33E-08;0.084278491
59;TRUE;26.6481;21.9671;FALSE;166.1546654;-0.000652547;8.54E-08;0.068711412
60;FALSE;;;;;;;
61;TRUE;25.4806;26.1113;FALSE;317.859275;-0.000768421;7.99E-08;0.13030784
62;TRUE;28.6276;30.9375;FALSE;5.645207153;-0.000457759;1.00E-10;0.00242265
63;TRUE;29.6255;25.189;FALSE;87.00851495;-0.000518642;8.43E-08;0.037203037
64;TRUE;27.1015;25.0227;FALSE;208.6760316;-0.000589195;8.19E-08;0.091149558
65;FALSE;;;;;;;
66;TRUE;30.5771;28.956;FALSE;41.44758484;-0.000736053;9.46E-08;0.017757935
67;TRUE;31.2954;21.4736;FALSE;53.67455465;-0.000754326;9.61E-08;0.022739224
