No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
1	92390	22.1965	2.4566	0.1179	0.1009	3.3805	4.2004	30.7937	26.2001
2	92400	21.9784	2.2554	0.1402	0.0703	3.9408	2.8228	25.0228	20.6872
3	92412	21.5840	1.9341	0.1174	0.0453	3.3595	1.8948	32.0125	25.8232
4	92418	22.1501	2.3007	0.1365	0.0995	3.9879	3.8552	25.9261	30.6044
5	92422	22.3967	2.5694	0.1303	0.2096	3.8181	8.0126	25.1080	25.8006
6	92467	21.7264	1.9067	0.1069	0.0506	3.1995	2.0616	21.8443	32.0056
7	92476	21.9859	2.2114	0.1239	0.0596	3.6030	2.6459	20.9348	22.3465
8	92487	22.2025	2.4110	0.1415	0.1468	4.0787	6.6166	26.0141	21.5329
9	92505	22.2683	2.4561	0.1324	0.1398	3.7820	5.4170	26.9011	29.9147
10	92517	22.2603	2.4710	0.2030	0.1762	5.8939	6.9009	24.9511	24.8259
11	92523	22.2892	2.4767	0.1220	0.2147	3.4634	8.4682	23.7322	23.6489
12	92528	21.6509	1.8909	0.1438	0.0401	4.1909	1.8079	20.1925	26.3330
13	92533	22.1696	2.3665	0.1601	0.0818	4.5505	3.0608	0.0000	0.0000
14	92540	22.2276	2.3352	0.1150	0.0741	3.3584	3.0277	0.0000	0.0000
15	92559	22.1299	2.3072	0.1064	0.1221	3.0912	4.9927	29.0952	29.2920
16	92560	22.2167	2.4067	0.1152	0.1155	3.3032	4.9115	24.5150	26.9738
17	92576	22.3151	2.4701	0.1363	0.1389	4.0616	5.9988	26.9717	27.9641
18	92584	22.0549	2.2487	0.1467	0.1015	4.1040	3.7555	0.0000	0.0000
19	92585	21.7386	1.9995	0.1111	0.0496	3.3284	2.0664	30.9806	28.1782
20	92588	22.2802	2.4442	0.1345	0.1807	3.8741	7.1829	27.3716	22.5411
21	92589	22.2933	2.5185	0.1669	0.1792	4.7260	7.1431	22.1124	20.4258
22	92609	22.2753	2.4635	0.4925	0.1297	13.2250	5.0867	0.0000	0.0000
23	92613	21.7456	2.0628	0.1627	0.0546	4.6601	2.1514	28.4661	19.9221
24	92615	21.3734	1.6245	0.1467	0.0384	4.1723	1.7551	21.9924	31.3276
25	92618	22.3833	2.5513	0.1298	0.1501	3.6317	5.8811	26.0854	30.7282
26	92636	22.4578	2.6053	0.1378	0.1802	4.0257	7.4425	25.9788	26.1686
27	92640	21.8249	2.0484	0.1213	0.0501	3.4862	2.3199	29.3477	30.2128
28	92667	22.3717	2.5239	0.1701	0.1629	4.7870	7.4518	28.9391	27.5321
29	92669	22.4217	2.5773	0.1246	0.2279	3.7836	9.3859	26.8480	26.3681
30	92672	22.4706	2.6559	0.1144	0.2413	3.5223	9.1132	22.6064	23.4198
31	92687	22.0196	2.2754	0.1060	0.0706	2.9606	2.6543	30.4614	30.2315
32	92699	22.2865	2.5155	0.1225	0.1202	3.5359	5.0633	29.5743	24.1846
33	92701	21.9197	2.1007	0.1155	0.0642	3.2995	2.3767	0.0000	0.0000
34	92705	22.4073	2.5723	0.1466	0.2076	4.1047	7.5108	26.3196	26.2155
35	92721	22.4134	2.5917	0.1259	0.1576	3.6342	6.4525	28.7115	27.8697
36	92742	22.0901	2.2714	0.1504	0.1023	4.3270	4.1307	28.2138	29.2158
37	92750	22.4056	2.5782	0.2446	0.3482	6.8122	14.4071	0.0000	0.0000
38	92760	22.1724	2.3678	0.3958	0.0818	10.8969	3.2742	0.0000	0.0000
39	92768	21.9702	2.1894	0.1292	0.0758	3.7089	3.0803	31.2620	29.8119
40	92769	21.7002	2.0024	0.1119	0.0516	3.1537	1.8506	31.3503	25.3854
41	92781	21.3635	1.7116	0.1508	0.0425	4.3447	1.8183	19.8064	28.5881
42	92786	22.2254	2.4437	0.1356	0.1334	3.9544	6.3410	0.0000	0.0000
43	92790	21.5619	1.8385	0.2492	0.0491	6.9420	2.3092	0.0000	0.0000
44	92791	22.1400	2.3610	0.1264	0.0908	3.8008	3.5984	0.0000	0.0000
