No	EventID	REF_MCP_timestamp	DUT_MCP_timestamp	REF_MCP_maxY	DUT_MCP_maxY	REF_MCP_e_peak	DUT_MCP_e_peak	TrackerX	TrackerY	
1	2682	149.7306	175.5141	0.0687	0.0023	0.4374	0.0544	28.8743	28.8070
2	2685	163.7338	403.6545	0.2991	0.0033	1.7198	0.0519	25.0609	31.9342
3	2691	142.2646	0.0000	0.1666	0.0024	0.9777	0.1085	31.7459	29.8851
4	2692	155.5638	701.3081	0.0721	0.0020	0.5369	0.0485	23.2392	34.6278
5	2698	141.5202	882.8738	0.0440	0.0021	0.2579	0.1357	0.0000	0.0000
6	2699	161.2626	449.5479	0.1048	0.0033	0.5947	0.0523	0.0000	0.0000
7	2702	160.5084	351.4816	0.2767	0.0031	1.7987	0.0708	21.6472	31.8587
8	2705	156.3228	436.3585	0.1805	0.0023	1.0321	0.0770	32.5007	33.3852
9	2706	160.2513	215.0908	0.1947	0.0023	1.1141	0.0551	14.9130	26.4161
10	2708	154.0784	488.3446	0.2843	0.0027	1.6369	0.0622	29.0724	28.2657
11	2711	162.0413	843.0555	0.0570	0.0024	0.3845	0.0626	0.0000	0.0000
12	2712	148.8602	161.9133	0.3670	0.0096	2.3524	0.4056	20.1857	27.1750
13	2714	161.8384	838.0764	0.3101	0.0034	1.7132	0.0635	35.4605	25.4632
14	2716	140.9191	580.3967	0.1011	0.0028	0.5283	0.0576	22.7445	19.3984
15	2717	148.9573	0.0000	0.4133	0.0023	2.3831	0.1077	0.0000	0.0000
16	2723	164.8367	0.0000	0.1174	0.0028	0.6920	0.0411	0.0000	0.0000
17	2726	144.2039	157.5465	0.5595	0.0041	3.2421	0.1717	22.8372	28.8468
18	2727	164.0410	226.4732	0.1208	0.0031	0.7318	0.0760	31.3498	32.6850
19	2728	154.1432	0.0000	0.3627	0.0027	2.2396	0.0395	23.7147	22.1251
20	2730	165.4283	0.0000	0.0436	0.0020	0.2379	0.0497	0.0000	0.0000
21	2731	164.3515	177.4339	0.2902	0.0098	1.8325	0.4391	22.2732	26.2110
22	2734	146.9533	620.8628	0.0683	0.0024	0.3905	0.0608	0.0000	0.0000
23	2736	164.9523	178.2728	0.5277	0.0052	2.9868	0.4300	25.0159	25.6491
24	2738	156.3905	811.0125	0.0516	0.0024	0.2860	0.0581	0.0000	0.0000
25	2744	144.1436	606.5534	0.0683	0.0022	0.3671	0.0350	13.7183	32.3241
26	2745	163.8629	0.0000	0.4381	0.0021	2.4960	0.0736	22.0211	20.5422
27	2747	155.3614	27.2376	0.1264	0.0028	0.7181	0.0811	25.7442	19.9928
28	2749	148.7679	948.2068	0.5376	0.0023	3.0955	0.0736	25.8376	28.8436
29	2750	153.6645	165.1365	0.0600	0.0019	0.3300	0.1321	33.4376	23.9778
30	2751	156.5383	199.2108	0.2152	0.0024	1.2326	0.0318	30.3993	31.0211
31	2752	154.8814	669.8108	0.2197	0.0023	1.2416	0.0497	32.2243	30.1052
32	2754	145.3567	0.0000	0.0515	0.0021	0.2743	0.0974	8.8239	26.9555
33	2760	142.6341	155.6926	0.1835	0.0051	1.0475	0.3117	20.1751	28.5722
34	2761	144.2697	779.9575	0.0545	0.0028	0.3836	0.1369	0.0000	0.0000
35	2763	150.0823	425.1189	0.1114	0.0021	0.8228	0.0516	22.4471	20.5309
36	2765	152.7888	167.2713	0.4881	0.0023	2.7953	0.0650	22.4862	34.0110
37	2766	144.6825	157.6459	0.0727	0.0033	0.4937	0.1412	0.0000	0.0000
38	2767	142.6511	977.9054	0.1294	0.0021	0.7231	0.0596	34.4515	27.2813
39	2772	145.9669	233.7559	0.7606	0.0033	5.1100	0.0630	27.4102	28.3036
40	2775	162.2318	559.2538	0.5280	0.0026	2.9807	0.0554	22.5759	23.1708
41	2778	155.9776	337.0368	0.0515	0.0026	0.3388	0.0675	0.0000	0.0000
42	2780	148.8570	748.5770	0.0780	0.0028	0.5261	0.0693	32.5377	32.3905
43	2782	143.3220	140.9531	0.0600	0.0027	0.3476	0.1113	31.5451	19.4811
44	2784	158.3686	171.9229	0.5334	0.0032	3.6073	0.0770	23.0464	27.9677
45	2785	165.0927	919.5440	0.1389	0.0029	0.7746	0.0846	32.8286	22.4229
46	2789	161.4144	147.8339	0.0750	0.0030	0.4863	0.1247	0.0000	0.0000
47	2794	150.6315	370.0889	0.0533	0.0022	0.2782	0.0347	33.6907	19.4114
48	2797	142.5178	763.7581	0.7432	0.0025	4.3655	0.0542	0.0000	0.0000
49	2799	150.4041	761.6103	0.1253	0.0028	0.9454	0.0583	29.2442	34.2583
50	2800	146.4823	255.1886	0.5602	0.0022	3.2348	0.0559	27.0730	29.9588
51	2802	155.0382	135.2755	0.0801	0.0027	0.4493	0.0698	0.0000	0.0000
52	2803	148.3649	283.4485	0.0864	0.0020	0.5117	0.0501	0.0000	0.0000
53	2804	149.7386	162.4239	0.4260	0.0035	2.5216	0.0972	26.4858	27.0259
54	2805	152.3194	855.7905	0.3726	0.0033	2.6160	0.0864	0.0000	0.0000
55	2806	157.0602	170.4247	0.5109	0.0074	2.8746	0.2401	21.7987	26.0222
56	2808	161.7091	147.1338	0.0831	0.0030	0.4356	0.2034	32.6141	22.1566
57	2810	162.4583	175.7260	0.7704	0.0049	4.4881	0.1724	23.3355	26.0896
58	2818	162.1334	963.5152	0.1035	0.0026	0.5744	0.0975	0.0000	0.0000
59	2820	160.9713	586.4406	0.3435	0.0022	1.9401	0.0871	23.5265	32.3314
60	2822	165.5782	178.0818	0.4024	0.0022	2.2581	0.0419	0.0000	0.0000
61	2825	153.8049	652.8334	0.0861	0.0028	0.4576	0.1073	31.9163	18.7059
62	2827	163.2342	879.5942	0.3094	0.0021	1.9023	0.0525	0.0000	0.0000
63	2828	160.5862	86.6591	0.0819	0.0031	0.4642	0.0588	16.2929	34.9667
64	2831	156.9646	830.4310	0.0516	0.0030	0.2889	0.0488	31.6729	20.3170
65	2832	143.4337	430.8734	0.1216	0.0023	0.6935	0.0566	0.0000	0.0000
66	2835	163.6840	955.8715	0.1619	0.0031	0.9145	0.1170	0.0000	0.0000
67	2836	164.6345	148.5779	0.0711	0.0023	0.4042	0.0472	34.3428	23.0810
68	2842	147.4864	703.1573	0.5640	0.0025	3.1993	0.0623	36.4931	28.1204
69	2849	160.8520	347.1929	0.1912	0.0033	1.0913	0.0546	32.3041	25.6420
70	2851	149.2389	381.0334	0.0405	0.0027	0.2105	0.0461	33.7857	23.7033
71	2853	143.3968	700.2259	0.5964	0.0032	3.8023	0.2046	0.0000	0.0000
72	2854	156.2442	169.1885	0.0977	0.0025	0.5427	0.0419	0.0000	0.0000
73	2855	149.7341	669.6506	0.0676	0.0026	0.4205	0.0448	0.0000	0.0000
74	2858	144.2553	163.5528	0.0626	0.0029	0.3558	0.0710	21.1141	20.0477
75	2859	151.8334	344.3832	0.1831	0.0035	1.0290	0.0758	0.0000	0.0000
76	2861	162.8333	0.0000	0.1467	0.0027	0.8275	0.0431	32.5739	23.4944
77	2862	155.9971	716.5008	0.0534	0.0021	0.3007	0.0563	23.5957	18.1608
78	2863	155.0172	361.4725	0.2176	0.0021	1.2263	0.0448	23.9523	37.1508
79	2867	157.9653	0.0000	0.0502	0.0023	0.3233	0.1042	27.6041	18.7214
80	2869	160.3546	874.4276	0.2210	0.0023	1.4495	0.0466	0.0000	0.0000
81	2874	154.4918	167.2178	0.0585	0.0045	0.3034	0.1667	26.0106	25.9689
82	2875	154.7143	699.9912	0.1083	0.0020	0.6167	0.0409	0.0000	0.0000
83	2877	160.5782	173.0990	0.2479	0.0045	1.3999	0.2360	26.7186	22.2867
84	2879	160.3085	577.0380	0.1289	0.0024	0.7510	0.0971	28.6916	21.9849
85	2883	144.4220	0.0000	0.1327	0.0025	0.9242	0.0793	28.7727	32.6780
86	2885	162.4156	175.6976	0.0894	0.0125	0.5034	0.7304	0.0000	0.0000
87	2886	154.4614	167.2386	0.3310	0.0063	2.1333	0.4276	20.8292	29.1780
88	2891	157.7945	170.9242	0.4285	0.0115	2.4905	0.6435	20.1716	27.4451
89	2895	154.9953	89.7804	0.0676	0.0025	0.3883	0.0473	0.0000	0.0000
90	2896	162.0808	308.4162	0.3807	0.0023	2.1722	0.0443	30.3836	27.4413
91	2900	141.0855	513.7799	0.1657	0.0029	0.9251	0.0501	0.0000	0.0000
92	2902	151.2614	164.4120	0.0852	0.0033	0.4771	0.1779	0.0000	0.0000
93	2904	158.7523	498.3774	0.0735	0.0030	0.4091	0.1553	19.7116	22.1785
94	2906	161.7746	66.9687	0.1756	0.0028	1.0000	0.0924	15.8431	26.3256
95	2907	157.9941	0.0000	0.0586	0.0021	0.3239	0.0261	23.8165	16.1380
96	2909	151.9317	789.3469	0.3326	0.0025	1.8682	0.0874	25.6635	20.4970
97	2911	142.3230	155.4369	0.4630	0.0068	2.9056	0.4551	22.8252	28.9720
98	2918	165.1653	356.1230	0.4194	0.0025	2.4284	0.0358	21.1173	30.4467
